match_count,mean_distance,median_distance,min_distance,max_distance,homography_ratio,fundamental_ratio,homography_error,fundamental_error,spatial_coverage,homography_inliers,fundamental_inliers,label
25.555,0.14878324890136718,0.1266017379760742,0.017088006973266602,0.5033408508300782,0.99354333789865,0.9937389943259636,0.001975657492876053,0.014183887671015222,0.9375,253.9,253.95,1
24.5,0.17774517822265626,0.16353591918945312,0.04029888153076172,0.5321691284179687,0.9922448979591837,0.9906122448979592,0.0031533166766166687,0.027892770034840482,0.9375,243.1,242.7,1
6.455,0.20537054443359376,0.1697174072265625,0.03155946731567383,0.5770164794921875,0.9907048799380326,0.9891556932610379,0.003053727149963379,0.030141327950934143,0.9375,63.95,63.85,1
11.185,0.18455564880371095,0.1658915252685547,0.033105892181396486,0.5488278198242188,0.9772016092981672,0.9772016092981672,0.0036272183060646057,0.0292894423361366,0.9375,109.3,109.3,0
18.51,0.18262303161621093,0.16581918334960938,0.04507770919799805,0.5391511840820312,0.9870340356564019,0.9870340356564019,0.0021435822546482085,0.030267025892806894,0.9375,182.7,182.7,1
25.21,0.1893166046142578,0.17435595703125,0.04034848022460937,0.511507568359375,0.9942483141610472,0.9940499801666005,0.0022018708288669584,0.022328464833841426,0.9375,250.65,250.6,1
26.32,0.15753782653808593,0.13633781433105469,0.017088006973266602,0.522547607421875,0.9963905775075987,0.9963905775075987,0.0020514628291130065,0.02265947825874746,0.9375,262.25,262.25,1
0.11,0.4318587646484375,0.44523675537109375,0.19204165649414062,0.6230313110351563,0.22727272727272727,0.4090909090909091,0.009549764394760131,0.05306268539521765,0.75,0.25,0.45,0
0.11,0.4318587646484375,0.44523675537109375,0.19204165649414062,0.6230313110351563,0.22727272727272727,0.4090909090909091,0.009549764394760131,0.05306268539521765,0.75,0.25,0.45,0
11.185,0.18455564880371095,0.1658915252685547,0.033105892181396486,0.5488278198242188,0.9772016092981672,0.9772016092981672,0.0036272183060646057,0.0292894423361366,0.9375,109.3,109.3,0
0.135,0.4038021240234375,0.41183493041992186,0.23768887329101562,0.5097921142578125,0.2222222222222222,0.3333333333333333,0.009852968454360962,0.06684947353552625,0.6875,0.3,0.45,0
25.795,0.14980543518066405,0.13441726684570313,0.02473863410949707,0.5291880493164063,0.9922465594107385,0.9922465594107385,0.002208629697561264,0.04442357447117777,0.9375,255.95,255.95,1
26.185,0.16299766540527344,0.14349913024902344,0.02366431999206543,0.5099137268066406,0.9948443765514607,0.9952262745846859,0.002168075740337372,0.03020668047190856,0.9375,260.5,260.6,1
26.24,0.16133895874023438,0.14177447509765626,0.02505992889404297,0.507614013671875,0.9948551829268293,0.9939024390243902,0.0024463047087192537,0.036227681376819185,0.9375,261.05,260.8,1
25.52,0.15902299499511718,0.14578065490722655,0.03464101791381836,0.49932754516601563,0.9939263322884012,0.9939263322884012,0.0022077779471874237,0.040012555877433034,0.9375,253.65,253.65,1
7.36,0.22849940490722656,0.20919845581054688,0.03364520645141601,0.5789749755859375,0.9898097826086957,0.9898097826086957,0.0030939891934394837,0.04466310557359048,0.9375,72.85,72.85,1
0.335,0.45864620971679687,0.47437960815429686,0.19204165649414062,0.5888938598632812,0.07462686567164178,0.14925373134328357,0.001742611527442932,0.029597210942223878,0.9375,0.25,0.5,0
20.96,0.17106521606445313,0.14925146484375,0.016852298736572267,0.5154454345703126,0.990219465648855,0.9899809160305344,0.001988733112812042,0.025874585121775196,0.9375,207.55,207.5,1
15.455,0.272849365234375,0.2670430603027344,0.09254188537597656,0.5732468872070312,0.9860886444516338,0.9835004852798447,0.004458552002906799,0.043575828356799344,0.9375,152.4,152.0,0
0.11,0.4318587646484375,0.44523675537109375,0.19204165649414062,0.6230313110351563,0.22727272727272727,0.4090909090909091,0.009549764394760131,0.05306268539521765,0.75,0.25,0.45,0
0.11,0.4318587646484375,0.44523675537109375,0.19204165649414062,0.6230313110351563,0.22727272727272727,0.4090909090909091,0.009549764394760131,0.05306268539521765,0.75,0.25,0.45,0
24.875,0.1576239013671875,0.13642579650878905,0.022978250503540038,0.5011227416992188,0.9921608040201005,0.9921608040201005,0.002106643468141556,0.013857339770949505,0.9375,246.8,246.8,1
11.185,0.18455564880371095,0.1658915252685547,0.033105892181396486,0.5488278198242188,0.9772016092981672,0.9772016092981672,0.0036272183060646057,0.0292894423361366,0.9375,109.3,109.3,0
25.16,0.18757273864746093,0.17485421752929686,0.03616628265380859,0.543547607421875,0.9942368839427663,0.9942368839427663,0.003064885139465332,0.020947464868873816,0.9375,250.15,250.15,1
25.805,0.18292581176757813,0.16726026916503905,0.04034848022460937,0.4965440673828125,0.9949622166246851,0.9951559775237357,0.0021412673592567442,0.0376158388409792,0.9375,256.75,256.8,1
